jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesAbstractEDU,事業活動によるキャッシュ・フロー、学校法人 [タイトル項目],Cash flows from operating activities,Cash flows from operating activities-EDU [abstract]
jppfs_cor:SubtotalOpeCF,小計、営業活動によるキャッシュ・フロー,Subtotal,Subtotal-OpeCF
jppfs_cor:ProceedsFromEducationAndResearchAndIncidentalOperationOpeCFEDU,教育研究・附属事業収入、事業活動によるキャッシュ・フロー、学校法人,Proceeds from education and research and incidental operation,Proceeds from education and research and incidental operation-OpeCF-EDU
jppfs_cor:ProceedsFromStudentFeesOpeCFEDU,学生生徒等納付金収入、事業活動によるキャッシュ・フロー、学校法人,Proceeds from student fees,Proceeds from student fees-OpeCF-EDU
jppfs_cor:ProceedsFromProcessingFeesOpeCFEDU,手数料の受入れによる収入、事業活動によるキャッシュ・フロー、学校法人,Proceeds from processing fees,Proceeds from processing fees-OpeCF-EDU
jppfs_cor:ProceedsFromDonationsOpeCFEDU,寄附金の受入れによる収入、事業活動によるキャッシュ・フロー、学校法人,Proceeds from donations,Proceeds from donations-OpeCF-EDU
jppfs_cor:ProceedsFromSubsidiesOpeCFEDU,補助金の受入れによる収入、事業活動によるキャッシュ・フロー、学校法人,Proceeds from subsidies,Proceeds from subsidies-OpeCF-EDU
jppfs_cor:OtherProceedsFromEducationAndResearchAndIncidentalOperationOpeCFEDU,その他の教育研究・附属事業収入、事業活動によるキャッシュ・フロー、学校法人,Other proceeds from education and research and incidental operation,Other proceeds from education and research and incidental operation-OpeCF-EDU
jppfs_cor:PaymentsForEducationAndResearchAndIncidentalOperationOpeCFEDU,教育研究・附属事業支出、事業活動によるキャッシュ・フロー、学校法人,Payments for education and research and incidental operation,Payments for education and research and incidental operation-OpeCF-EDU
jppfs_cor:PaymentsForPersonalExpensesOpeCFEDU,人件費の支出、事業活動によるキャッシュ・フロー、学校法人,Payments for personnel expenses,Payments for personnel expenses-OpeCF-EDU
jppfs_cor:PaymentsForEducationAndResearchExpensesOpeCFEDU,教育研究経費の支出、事業活動によるキャッシュ・フロー、学校法人,Payments for education and research expenses,Payments for education and research expenses-OpeCF-EDU
jppfs_cor:PaymentsForManagementExpensesOpeCFEDU,管理経費の支出、事業活動によるキャッシュ・フロー、学校法人,Payments for management expenses,Payments for management expenses-OpeCF-EDU
jppfs_cor:ProceedsFromProfitEarningOperationOpeCFEDU,収益事業収入、事業活動によるキャッシュ・フロー、学校法人,Proceeds from profit-earning operation,Proceeds from profit-earning operation-OpeCF-EDU
jppfs_cor:PaymentsForProfitEarningOperationOpeCFEDU,収益事業支出、事業活動によるキャッシュ・フロー、学校法人,Payments for profit-earning operation,Payments for profit-earning operation-OpeCF-EDU
jppfs_cor:DecreaseIncreaseInAccountsReceivableOpeCFEDU,未収入金の増減額（△は増加）、事業活動によるキャッシュ・フロー、学校法人,Decrease (increase) in accounts receivable,Decrease (increase) in accounts receivable-OpeCF-EDU
jppfs_cor:NetCashProvidedByUsedInOperatingActivitiesEDU,事業活動によるキャッシュ・フロー、学校法人,Net cash provided by (used in) operating activities,Net cash provided by (used in) operating activities-EDU
jppfs_cor:NetCashProvidedByUsedInFacilitiesMaintenanceAndInvestmentActivitiesAbstractEDU,施設等整備・投資活動によるキャッシュ・フロー、学校法人 [タイトル項目],Cash flows from facilities maintenance and investing activities,Cash flows from facilities maintenance and investing activities-EDU [abstract]
jppfs_cor:ProceedsFromFacilitiesSubsidiesInvCFEDU,施設設備補助金の受入れによる収入、施設等整備・投資活動によるキャッシュ・フロー、学校法人,Proceeds from facilities subsidies,Proceeds from facilities subsidies-InvCF-EDU
jppfs_cor:ProceedsFromSpecialContributionInvCFEDU,特別寄附金の受入れによる収入、施設等整備・投資活動によるキャッシュ・フロー、学校法人,Proceeds from special contribution,Proceeds from special contribution-InvCF-EDU
jppfs_cor:PaymentOfReservedAssetsForFacilitiesInvCFEDU,施設設備引当特定資産への支出、施設等整備・投資活動によるキャッシュ・フロー、学校法人,Payment of reserved assets for facilities,Payment of reserved assets for facilities-InvCF-EDU
jppfs_cor:ProceedsFromReservedAssetsForFacilitiesInvCFEDU,施設設備引当特定資産からの収入、施設等整備・投資活動によるキャッシュ・フロー、学校法人,Proceeds from reserved assets for facilities,Proceeds from reserved assets for facilities-InvCF-EDU
jppfs_cor:NetCashProvidedByUsedInFacilitiesMaintenanceAndInvestmentActivitiesEDU,施設等整備・投資活動によるキャッシュ・フロー、学校法人,Net cash provided by (used in) facilities maintenance and investing activities,Net cash provided by (used in) facilities maintenance and investing activities-EDU
jppfs_cor:NetCashProvidedByUsedInFinancingActivitiesAbstract,財務活動によるキャッシュ・フロー [タイトル項目],Cash flows from financing activities,Cash flows from financing activities [abstract]
jppfs_cor:ProceedsFromIssuanceOfSchoolBondsFinCFEDU,学校債の発行による収入、財務活動によるキャッシュ・フロー、学校法人,Proceeds from issuance of school bonds,Proceeds from issuance of school bonds-FinCF-EDU
jppfs_cor:RedemptionOfSchoolBondsFinCFEDU,学校債の償還による支出、財務活動によるキャッシュ・フロー、学校法人,Redemption of school bonds,Redemption of school bonds-FinCF-EDU
